number,label
0001, 70
0002, 42
0003, 58
0004, 89
0005, 33
0006, 60
0007, 07
0008, 35
0009, 47
0010, 11
0011, 68
0012, 97
0013, 73
0014, 47
0015, 96
0016, 47
0017, 12
0018, 32
0019, 26
0020, 50
0021, 36
0022, 45
0023, 12
0024, 23
0025, 23
0026, 48
0027, 70
0028, 76
0029, 27
0030, 42
0031, 21
0032, 92
0033, 16
0034, 02
0035, 54
0036, 20
0037, 69
0038, 22
0039, 64
0040, 18
0041, 37
0042, 28
0043, 43
0044, 81
0045, 99
0046, 82
0047, 25
0048, 63
0049, 90
0050, 09
0051, 60
0052, 96
0053, 27
0054, 12
0055, 78
0056, 50
0057, 63
0058, 41
0059, 23
0060, 27
0061, 96
0062, 18
0063, 75
0064, 61
0065, 55
0066, 23
0067, 57
0068, 51
0069, 01
0070, 06
0071, 98
0072, 36
0073, 32
0074, 20
0075, 74
0076, 80
0077, 40
0078, 24
0079, 97
0080, 42
0081, 60
0082, 21
0083, 00
0084, 11
0085, 73
0086, 71
0087, 10
0088, 33
0089, 21
0090, 77
0091, 82
0092, 73
0093, 03
0094, 22
0095, 18
0096, 21
0097, 25
0098, 21
0099, 84
0100, 06
0101, 79
0102, 04
0103, 30
0104, 06
0105, 33
0106, 39
0107, 99
0108, 69
0109, 04
0110, 70
0111, 13
0112, 13
0113, 39
0114, 64
0115, 60
0116, 71
0117, 55
0118, 52
0119, 16
0120, 27
0121, 10
0122, 11
0123, 68
0124, 74
0125, 65
0126, 61
0127, 98
0128, 17
0129, 96
0130, 01
0131, 82
0132, 83
0133, 85
0134, 94
0135, 13
0136, 33
0137, 57
0138, 01
0139, 04
0140, 67
0141, 09
0142, 00
0143, 03
0144, 24
0145, 31
0146, 29
0147, 35
0148, 07
0149, 66
0150, 82
0151, 00
0152, 27
0153, 66
0154, 03
0155, 08
0156, 49
0157, 27
0158, 55
0159, 74
0160, 47
0161, 28
0162, 63
0163, 79
0164, 34
0165, 58
0166, 34
0167, 73
0168, 12
0169, 83
0170, 74
0171, 48
0172, 46
0173, 75
0174, 38
0175, 21
0176, 39
0177, 29
0178, 67
0179, 32
0180, 27
0181, 27
0182, 74
0183, 30
0184, 71
0185, 22
0186, 20
0187, 86
0188, 26
0189, 04
0190, 99
0191, 30
0192, 67
0193, 82
0194, 23
0195, 64
0196, 43
0197, 60
0198, 43
0199, 97
0200, 76
0201, 54
0202, 28
0203, 58
0204, 93
0205, 80
0206, 61
0207, 30
0208, 00
0209, 15
0210, 11
0211, 18
0212, 64
0213, 70
0214, 07
0215, 12
0216, 98
0217, 86
0218, 81
0219, 04
0220, 36
0221, 73
0222, 62
0223, 04
0224, 04
0225, 02
0226, 24
0227, 37
0228, 67
0229, 07
0230, 72
0231, 96
0232, 39
0233, 46
0234, 05
0235, 53
0236, 57
0237, 07
0238, 88
0239, 55
0240, 32
0241, 71
0242, 57
0243, 11
0244, 62
0245, 68
0246, 57
0247, 63
0248, 24
0249, 86
0250, 39
0251, 90
0252, 32
0253, 33
0254, 69
0255, 51
0256, 78
0257, 04
0258, 77
0259, 64
0260, 04
0261, 75
0262, 15
0263, 36
0264, 96
0265, 37
0266, 27
0267, 34
0268, 27
0269, 18
0270, 99
0271, 35
0272, 30
0273, 61
0274, 12
0275, 53
0276, 78
0277, 32
0278, 55
0279, 23
0280, 03
0281, 91
0282, 51
0283, 51
0284, 60
0285, 77
0286, 04
0287, 08
0288, 62
0289, 69
0290, 94
0291, 62
0292, 33
0293, 11
0294, 94
0295, 01
0296, 66
0297, 72
0298, 95
0299, 18
0300, 11
0301, 87
0302, 98
0303, 41
0304, 42
0305, 22
0306, 25
0307, 71
0308, 31
0309, 89
0310, 55
0311, 21
0312, 91
0313, 12
0314, 18
0315, 13
0316, 46
0317, 71
0318, 43
0319, 62
0320, 57
0321, 95
0322, 33
0323, 11
0324, 55
0325, 61
0326, 10
0327, 55
0328, 18
0329, 37
0330, 45
0331, 53
0332, 69
0333, 74
0334, 70
0335, 96
0336, 17
0337, 04
0338, 59
0339, 33
0340, 96
0341, 59
0342, 06
0343, 66
0344, 83
0345, 07
0346, 60
0347, 28
0348, 18
0349, 69
0350, 79
0351, 22
0352, 86
0353, 27
0354, 50
0355, 51
0356, 04
0357, 60
0358, 42
0359, 30
0360, 24
0361, 12
0362, 42
0363, 03
0364, 41
0365, 83
0366, 19
0367, 79
0368, 45
0369, 88
0370, 67
0371, 04
0372, 44
0373, 70
0374, 63
0375, 09
0376, 70
0377, 57
0378, 57
0379, 45
0380, 27
0381, 85
0382, 97
0383, 43
0384, 96
0385, 49
0386, 90
0387, 04
0388, 86
0389, 80
0390, 67
0391, 18
0392, 85
0393, 21
0394, 70
0395, 30
0396, 25
0397, 23
0398, 99
0399, 33
0400, 67
0401, 11
0402, 42
0403, 22
0404, 62
0405, 95
0406, 34
0407, 69
0408, 33
0409, 17
0410, 56
0411, 10
0412, 78
0413, 73
0414, 96
0415, 97
0416, 39
0417, 24
0418, 09
0419, 28
0420, 01
0421, 47
0422, 56
0423, 95
0424, 97
0425, 10
0426, 33
0427, 79
0428, 88
0429, 77
0430, 55
0431, 48
0432, 17
0433, 58
0434, 21
0435, 87
0436, 97
0437, 04
0438, 04
0439, 72
0440, 78
0441, 75
0442, 13
0443, 75
0444, 99
0445, 08
0446, 16
0447, 46
0448, 69
0449, 62
0450, 33
0451, 65
0452, 95
0453, 07
0454, 03
0455, 23
0456, 16
0457, 55
0458, 90
0459, 59
0460, 79
0461, 33
0462, 83
0463, 95
0464, 04
0465, 77
0466, 13
0467, 60
0468, 78
0469, 17
0470, 58
0471, 38
0472, 27
0473, 70
0474, 80
0475, 36
0476, 85
0477, 33
0478, 42
0479, 75
0480, 14
0481, 28
0482, 38
0483, 11
0484, 97
0485, 11
0486, 05
0487, 27
0488, 19
0489, 18
0490, 04
0491, 60
0492, 70
0493, 27
0494, 18
0495, 53
0496, 40
0497, 98
0498, 93
0499, 10
0500, 53
0501, 12
0502, 37
0503, 82
0504, 33
0505, 46
0506, 70
0507, 48
0508, 31
0509, 03
0510, 22
0511, 03
0512, 51
0513, 79
0514, 23
0515, 09
0516, 52
0517, 81
0518, 70
0519, 46
0520, 95
0521, 33
0522, 71
0523, 40
0524, 80
0525, 44
0526, 14
0527, 29
0528, 96
0529, 80
0530, 25
0531, 98
0532, 05
0533, 24
0534, 18
0535, 27
0536, 44
0537, 41
0538, 27
0539, 18
0540, 18
0541, 96
0542, 37
0543, 84
0544, 87
0545, 36
0546, 04
0547, 64
0548, 71
0549, 71
0550, 04
0551, 15
0552, 04
0553, 74
0554, 60
0555, 89
0556, 44
0557, 73
0558, 45
0559, 55
0560, 01
0561, 27
0562, 18
0563, 17
0564, 27
0565, 71
0566, 02
0567, 60
0568, 37
0569, 56
0570, 92
0571, 82
0572, 17
0573, 48
0574, 85
0575, 08
0576, 65
0577, 58
0578, 97
0579, 58
0580, 23
0581, 10
0582, 18
0583, 18
0584, 79
0585, 04
0586, 18
0587, 35
0588, 63
0589, 51
0590, 71
0591, 58
0592, 05
0593, 99
0594, 71
0595, 06
0596, 50
0597, 78
0598, 61
0599, 96
0600, 96
0601, 22
0602, 95
0603, 16
0604, 27
0605, 08
0606, 63
0607, 76
0608, 06
0609, 73
0610, 42
0611, 84
0612, 17
0613, 20
0614, 29
0615, 15
0616, 50
0617, 71
0618, 74
0619, 44
0620, 19
0621, 36
0622, 47
0623, 26
0624, 99
0625, 62
0626, 90
0627, 34
0628, 05
0629, 24
0630, 69
0631, 11
0632, 68
0633, 51
0634, 63
0635, 70
0636, 68
0637, 00
0638, 67
0639, 20
0640, 69
0641, 55
0642, 44
0643, 12
0644, 64
0645, 91
0646, 06
0647, 06
0648, 35
0649, 07
0650, 02
0651, 18
0652, 83
0653, 65
0654, 07
0655, 27
0656, 40
0657, 60
0658, 70
0659, 73
0660, 31
0661, 17
0662, 41
0663, 61
0664, 84
0665, 97
0666, 71
0667, 96
0668, 97
0669, 08
0670, 04
0671, 41
0672, 23
0673, 37
0674, 82
0675, 20
0676, 27
0677, 23
0678, 51
0679, 28
0680, 01
0681, 08
0682, 06
0683, 93
0684, 07
0685, 32
0686, 55
0687, 79
0688, 27
0689, 73
0690, 85
0691, 55
0692, 81
0693, 56
0694, 69
0695, 96
0696, 35
0697, 23
0698, 54
0699, 37
0700, 32
0701, 05
0702, 17
0703, 15
0704, 80
0705, 26
0706, 28
0707, 15
0708, 39
0709, 68
0710, 28
0711, 31
0712, 32
0713, 58
0714, 18
0715, 01
0716, 38
0717, 94
0718, 36
0719, 61
0720, 18
0721, 81
0722, 79
0723, 48
0724, 04
0725, 78
0726, 03
0727, 83
0728, 23
0729, 42
0730, 63
0731, 89
0732, 38
0733, 27
0734, 30
0735, 28
0736, 21
0737, 94
0738, 35
0739, 22
0740, 52
0741, 70
0742, 66
0743, 33
0744, 26
0745, 64
0746, 90
0747, 97
0748, 18
0749, 18
0750, 57
0751, 20
0752, 70
0753, 69
0754, 41
0755, 66
0756, 04
0757, 50
0758, 91
0759, 78
0760, 32
0761, 06
0762, 90
0763, 05
0764, 61
0765, 38
0766, 87
0767, 44
0768, 47
0769, 59
0770, 52
0771, 33
0772, 41
0773, 67
0774, 08
0775, 60
0776, 54
0777, 96
0778, 73
0779, 00
0780, 03
0781, 52
0782, 83
0783, 64
0784, 44
0785, 18
0786, 70
0787, 62
0788, 24
0789, 29
0790, 76
0791, 55
0792, 70
0793, 48
0794, 66
0795, 61
0796, 03
0797, 23
0798, 81
0799, 01
0800, 04
0801, 95
0802, 04
0803, 68
0804, 73
0805, 27
0806, 73
0807, 65
0808, 56
0809, 23
0810, 87
0811, 98
0812, 90
0813, 74
0814, 29
0815, 47
0816, 95
0817, 04
0818, 09
0819, 50
0820, 10
0821, 44
0822, 46
0823, 22
0824, 37
0825, 33
0826, 25
0827, 37
0828, 90
0829, 35
0830, 71
0831, 11
0832, 96
0833, 39
0834, 53
0835, 51
0836, 20
0837, 52
0838, 45
0839, 67
0840, 09
0841, 86
0842, 70
0843, 06
0844, 42
0845, 11
0846, 74
0847, 96
0848, 72
0849, 16
0850, 73
0851, 73
0852, 12
0853, 02
0854, 55
0855, 70
0856, 18
0857, 49
0858, 22
0859, 55
0860, 02
0861, 51
0862, 16
0863, 82
0864, 55
0865, 89
0866, 82
0867, 82
0868, 64
0869, 86
0870, 76
0871, 51
0872, 20
0873, 96
0874, 39
0875, 55
0876, 60
0877, 14
0878, 71
0879, 02
0880, 04
0881, 09
0882, 67
0883, 06
0884, 70
0885, 94
0886, 48
0887, 32
0888, 96
0889, 47
0890, 36
0891, 23
0892, 67
0893, 08
0894, 66
0895, 07
0896, 27
0897, 67
0898, 81
0899, 12
0900, 96
0901, 06
0902, 46
0903, 97
0904, 85
0905, 52
0906, 81
0907, 21
0908, 12
0909, 40
0910, 76
0911, 59
0912, 91
0913, 17
0914, 88
0915, 65
0916, 67
0917, 10
0918, 24
0919, 35
0920, 73
0921, 89
0922, 46
0923, 89
0924, 26
0925, 51
0926, 73
0927, 90
0928, 04
0929, 09
0930, 00
0931, 68
0932, 81
0933, 33
0934, 04
0935, 58
0936, 34
0937, 32
0938, 67
0939, 43
0940, 86
0941, 20
0942, 99
0943, 60
0944, 35
0945, 80
0946, 13
0947, 31
0948, 27
0949, 70
0950, 61
0951, 26
0952, 90
0953, 14
0954, 20
0955, 06
0956, 87
0957, 48
0958, 00
0959, 30
0960, 96
0961, 17
0962, 27
0963, 85
0964, 03
0965, 30
0966, 69
0967, 69
0968, 60
0969, 79
0970, 07
0971, 84
0972, 66
0973, 56
0974, 16
0975, 91
0976, 71
0977, 25
0978, 92
0979, 30
0980, 66
0981, 97
0982, 94
0983, 11
0984, 04
0985, 24
0986, 08
0987, 68
0988, 85
0989, 04
0990, 10
0991, 25
0992, 18
0993, 45
0994, 60
0995, 07
0996, 48
0997, 46
0998, 99
0999, 23
1000, 95
1001, 06
1002, 73
1003, 69
1004, 89
1005, 63
1006, 87
1007, 74
1008, 20
1009, 62
1010, 25
1011, 71
1012, 85
1013, 80
1014, 23
1015, 61
1016, 11
1017, 60
1018, 71
1019, 42
1020, 26
1021, 27
1022, 91
1023, 18
1024, 19
1025, 64
1026, 39
1027, 60
1028, 05
1029, 33
1030, 96
1031, 71
1032, 41
1033, 33
1034, 96
1035, 64
1036, 88
