number, label
0001, 70
0002, 85
0003, 58
0004, 41
0005, 27
0006, 60
0007, 07
0008, 35
0009, 96
0010, 35
0011, 57
0012, 64
0013, 73
0014, 47
0015, 96
0016, 47
0017, 73
0018, 14
0019, 35
0020, 50
0021, 36
0022, 45
0023, 12
0024, 67
0025, 01
0026, 48
0027, 70
0028, 76
0029, 55
0030, 42
0031, 21
0032, 92
0033, 83
0034, 02
0035, 54
0036, 20
0037, 04
0038, 61
0039, 64
0040, 18
0041, 37
0042, 28
0043, 43
0044, 90
0045, 31
0046, 82
0047, 05
0048, 50
0049, 90
0050, 09
0051, 71
0052, 52
0053, 42
0054, 12
0055, 27
0056, 50
0057, 63
0058, 41
0059, 23
0060, 27
0061, 38
0062, 72
0063, 75
0064, 10
0065, 65
0066, 33
0067, 53
0068, 51
0069, 01
0070, 82
0071, 98
0072, 36
0073, 32
0074, 20
0075, 74
0076, 75
0077, 40
0078, 24
0079, 31
0080, 42
0081, 60
0082, 21
0083, 00
0084, 46
0085, 99
0086, 60
0087, 10
0088, 79
0089, 21
0090, 77
0091, 82
0092, 73
0093, 03
0094, 22
0095, 18
0096, 17
0097, 25
0098, 21
0099, 12
0100, 06
0101, 79
0102, 50
0103, 30
0104, 06
0105, 87
0106, 39
0107, 99
0108, 69
0109, 55
0110, 00
0111, 13
0112, 13
0113, 39
0114, 64
0115, 60
0116, 71
0117, 55
0118, 52
0119, 16
0120, 27
0121, 10
0122, 11
0123, 68
0124, 74
0125, 65
0126, 61
0127, 98
0128, 17
0129, 23
0130, 73
0131, 82
0132, 83
0133, 85
0134, 94
0135, 13
0136, 50
0137, 57
0138, 01
0139, 04
0140, 67
0141, 09
0142, 57
0143, 19
0144, 01
0145, 31
0146, 27
0147, 11
0148, 07
0149, 66
0150, 82
0151, 00
0152, 73
0153, 66
0154, 03
0155, 08
0156, 49
0157, 27
0158, 79
0159, 80
0160, 47
0161, 94
0162, 63
0163, 79
0164, 34
0165, 58
0166, 34
0167, 73
0168, 12
0169, 83
0170, 74
0171, 48
0172, 46
0173, 75
0174, 38
0175, 21
0176, 39
0177, 29
0178, 67
0179, 32
0180, 27
0181, 27
0182, 04
0183, 28
0184, 15
0185, 22
0186, 20
0187, 86
0188, 91
0189, 18
0190, 99
0191, 63
0192, 67
0193, 82
0194, 23
0195, 34
0196, 43
0197, 22
0198, 06
0199, 97
0200, 76
0201, 54
0202, 28
0203, 90
0204, 93
0205, 55
0206, 61
0207, 55
0208, 00
0209, 15
0210, 46
0211, 18
0212, 64
0213, 70
0214, 07
0215, 90
0216, 35
0217, 86
0218, 81
0219, 04
0220, 36
0221, 30
0222, 62
0223, 34
0224, 04
0225, 02
0226, 24
0227, 37
0228, 67
0229, 07
0230, 19
0231, 43
0232, 39
0233, 46
0234, 05
0235, 73
0236, 57
0237, 07
0238, 88
0239, 55
0240, 32
0241, 71
0242, 57
0243, 11
0244, 70
0245, 68
0246, 72
0247, 79
0248, 24
0249, 86
0250, 39
0251, 90
0252, 32
0253, 33
0254, 12
0255, 51
0256, 99
0257, 50
0258, 77
0259, 64
0260, 73
0261, 75
0262, 15
0263, 36
0264, 96
0265, 96
0266, 03
0267, 34
0268, 96
0269, 06
0270, 78
0271, 35
0272, 55
0273, 99
0274, 12
0275, 53
0276, 78
0277, 55
0278, 04
0279, 23
0280, 03
0281, 91
0282, 51
0283, 51
0284, 60
0285, 77
0286, 04
0287, 86
0288, 70
0289, 69
0290, 94
0291, 70
0292, 04
0293, 02
0294, 94
0295, 01
0296, 66
0297, 50
0298, 95
0299, 79
0300, 66
0301, 87
0302, 35
0303, 41
0304, 42
0305, 22
0306, 25
0307, 67
0308, 31
0309, 89
0310, 63
0311, 21
0312, 37
0313, 12
0314, 18
0315, 13
0316, 46
0317, 71
0318, 43
0319, 02
0320, 00
0321, 95
0322, 33
0323, 12
0324, 27
0325, 61
0326, 32
0327, 60
0328, 18
0329, 59
0330, 03
0331, 53
0332, 33
0333, 44
0334, 70
0335, 56
0336, 17
0337, 44
0338, 56
0339, 56
0340, 52
0341, 56
0342, 07
0343, 66
0344, 83
0345, 07
0346, 12
0347, 28
0348, 78
0349, 09
0350, 79
0351, 00
0352, 86
0353, 45
0354, 24
0355, 63
0356, 04
0357, 60
0358, 42
0359, 72
0360, 24
0361, 12
0362, 42
0363, 90
0364, 91
0365, 83
0366, 19
0367, 07
0368, 10
0369, 88
0370, 67
0371, 79
0372, 45
0373, 70
0374, 63
0375, 09
0376, 00
0377, 53
0378, 77
0379, 45
0380, 27
0381, 85
0382, 97
0383, 34
0384, 96
0385, 49
0386, 90
0387, 31
0388, 16
0389, 80
0390, 67
0391, 90
0392, 85
0393, 21
0394, 70
0395, 55
0396, 25
0397, 68
0398, 99
0399, 89
0400, 30
0401, 11
0402, 42
0403, 22
0404, 57
0405, 71
0406, 34
0407, 79
0408, 03
0409, 85
0410, 56
0411, 10
0412, 78
0413, 24
0414, 96
0415, 97
0416, 39
0417, 24
0418, 28
0419, 28
0420, 01
0421, 96
0422, 56
0423, 95
0424, 97
0425, 10
0426, 60
0427, 79
0428, 88
0429, 77
0430, 42
0431, 48
0432, 17
0433, 58
0434, 21
0435, 87
0436, 85
0437, 63
0438, 55
0439, 72
0440, 78
0441, 75
0442, 85
0443, 75
0444, 44
0445, 08
0446, 16
0447, 31
0448, 69
0449, 62
0450, 33
0451, 91
0452, 27
0453, 74
0454, 21
0455, 23
0456, 16
0457, 19
0458, 90
0459, 59
0460, 79
0461, 33
0462, 83
0463, 91
0464, 04
0465, 77
0466, 13
0467, 60
0468, 78
0469, 37
0470, 58
0471, 38
0472, 31
0473, 70
0474, 31
0475, 36
0476, 85
0477, 74
0478, 88
0479, 75
0480, 14
0481, 28
0482, 38
0483, 11
0484, 97
0485, 11
0486, 05
0487, 03
0488, 19
0489, 18
0490, 55
0491, 60
0492, 14
0493, 42
0494, 91
0495, 00
0496, 40
0497, 21
0498, 93
0499, 10
0500, 83
0501, 12
0502, 37
0503, 82
0504, 27
0505, 46
0506, 70
0507, 48
0508, 31
0509, 03
0510, 22
0511, 03
0512, 51
0513, 38
0514, 71
0515, 16
0516, 52
0517, 13
0518, 70
0519, 46
0520, 95
0521, 33
0522, 04
0523, 40
0524, 80
0525, 96
0526, 18
0527, 66
0528, 33
0529, 65
0530, 25
0531, 98
0532, 05
0533, 24
0534, 34
0535, 27
0536, 44
0537, 41
0538, 55
0539, 69
0540, 18
0541, 96
0542, 37
0543, 84
0544, 87
0545, 36
0546, 04
0547, 64
0548, 96
0549, 71
0550, 34
0551, 15
0552, 04
0553, 74
0554, 71
0555, 89
0556, 44
0557, 39
0558, 45
0559, 55
0560, 01
0561, 63
0562, 18
0563, 17
0564, 27
0565, 71
0566, 45
0567, 60
0568, 17
0569, 56
0570, 92
0571, 74
0572, 85
0573, 48
0574, 90
0575, 48
0576, 65
0577, 58
0578, 97
0579, 58
0580, 23
0581, 28
0582, 41
0583, 66
0584, 79
0585, 55
0586, 14
0587, 35
0588, 04
0589, 77
0590, 71
0591, 58
0592, 05
0593, 67
0594, 12
0595, 06
0596, 50
0597, 14
0598, 22
0599, 34
0600, 96
0601, 22
0602, 95
0603, 16
0604, 27
0605, 08
0606, 63
0607, 76
0608, 06
0609, 61
0610, 16
0611, 54
0612, 17
0613, 20
0614, 93
0615, 15
0616, 50
0617, 71
0618, 04
0619, 50
0620, 19
0621, 36
0622, 47
0623, 45
0624, 99
0625, 62
0626, 90
0627, 34
0628, 05
0629, 07
0630, 69
0631, 11
0632, 68
0633, 63
0634, 63
0635, 70
0636, 68
0637, 00
0638, 49
0639, 20
0640, 14
0641, 04
0642, 44
0643, 12
0644, 64
0645, 91
0646, 06
0647, 06
0648, 02
0649, 07
0650, 02
0651, 91
0652, 83
0653, 65
0654, 07
0655, 27
0656, 40
0657, 60
0658, 82
0659, 73
0660, 31
0661, 17
0662, 41
0663, 61
0664, 84
0665, 55
0666, 71
0667, 96
0668, 55
0669, 08
0670, 18
0671, 41
0672, 23
0673, 41
0674, 82
0675, 25
0676, 04
0677, 49
0678, 51
0679, 16
0680, 01
0681, 08
0682, 65
0683, 65
0684, 07
0685, 32
0686, 79
0687, 79
0688, 27
0689, 77
0690, 85
0691, 66
0692, 81
0693, 56
0694, 71
0695, 96
0696, 98
0697, 23
0698, 54
0699, 37
0700, 30
0701, 05
0702, 17
0703, 15
0704, 80
0705, 26
0706, 28
0707, 15
0708, 90
0709, 68
0710, 28
0711, 31
0712, 74
0713, 58
0714, 18
0715, 01
0716, 42
0717, 94
0718, 36
0719, 61
0720, 18
0721, 81
0722, 79
0723, 48
0724, 88
0725, 78
0726, 19
0727, 83
0728, 23
0729, 42
0730, 63
0731, 89
0732, 38
0733, 27
0734, 55
0735, 28
0736, 21
0737, 31
0738, 35
0739, 22
0740, 96
0741, 70
0742, 66
0743, 33
0744, 26
0745, 55
0746, 90
0747, 97
0748, 18
0749, 99
0750, 57
0751, 20
0752, 06
0753, 85
0754, 41
0755, 66
0756, 79
0757, 50
0758, 91
0759, 78
0760, 10
0761, 06
0762, 90
0763, 05
0764, 61
0765, 66
0766, 87
0767, 37
0768, 47
0769, 59
0770, 52
0771, 79
0772, 41
0773, 67
0774, 08
0775, 60
0776, 54
0777, 96
0778, 93
0779, 00
0780, 73
0781, 63
0782, 83
0783, 64
0784, 84
0785, 26
0786, 70
0787, 54
0788, 24
0789, 29
0790, 76
0791, 55
0792, 70
0793, 48
0794, 66
0795, 61
0796, 03
0797, 23
0798, 13
0799, 01
0800, 55
0801, 73
0802, 78
0803, 68
0804, 30
0805, 93
0806, 73
0807, 04
0808, 56
0809, 23
0810, 22
0811, 35
0812, 90
0813, 27
0814, 29
0815, 47
0816, 95
0817, 74
0818, 09
0819, 64
0820, 98
0821, 44
0822, 46
0823, 22
0824, 37
0825, 33
0826, 84
0827, 37
0828, 90
0829, 46
0830, 23
0831, 46
0832, 25
0833, 39
0834, 10
0835, 51
0836, 20
0837, 59
0838, 26
0839, 93
0840, 09
0841, 86
0842, 07
0843, 45
0844, 42
0845, 06
0846, 74
0847, 96
0848, 66
0849, 81
0850, 95
0851, 31
0852, 90
0853, 02
0854, 66
0855, 70
0856, 18
0857, 49
0858, 87
0859, 19
0860, 02
0861, 51
0862, 16
0863, 02
0864, 55
0865, 48
0866, 82
0867, 82
0868, 64
0869, 86
0870, 10
0871, 63
0872, 20
0873, 45
0874, 32
0875, 55
0876, 60
0877, 14
0878, 71
0879, 32
0880, 01
0881, 09
0882, 66
0883, 77
0884, 70
0885, 94
0886, 48
0887, 51
0888, 96
0889, 96
0890, 36
0891, 76
0892, 67
0893, 08
0894, 66
0895, 07
0896, 74
0897, 67
0898, 81
0899, 12
0900, 96
0901, 82
0902, 35
0903, 14
0904, 85
0905, 52
0906, 81
0907, 21
0908, 12
0909, 40
0910, 76
0911, 66
0912, 91
0913, 17
0914, 88
0915, 19
0916, 67
0917, 58
0918, 24
0919, 35
0920, 27
0921, 89
0922, 35
0923, 89
0924, 45
0925, 51
0926, 73
0927, 81
0928, 44
0929, 09
0930, 10
0931, 68
0932, 13
0933, 69
0934, 55
0935, 58
0936, 34
0937, 01
0938, 67
0939, 04
0940, 86
0941, 20
0942, 99
0943, 71
0944, 27
0945, 80
0946, 13
0947, 31
0948, 04
0949, 57
0950, 57
0951, 26
0952, 90
0953, 14
0954, 20
0955, 29
0956, 87
0957, 48
0958, 00
0959, 30
0960, 96
0961, 17
0962, 04
0963, 85
0964, 03
0965, 66
0966, 69
0967, 75
0968, 60
0969, 23
0970, 07
0971, 84
0972, 33
0973, 63
0974, 16
0975, 73
0976, 71
0977, 25
0978, 92
0979, 72
0980, 66
0981, 93
0982, 94
0983, 35
0984, 27
0985, 24
0986, 08
0987, 68
0988, 90
0989, 43
0990, 10
0991, 94
0992, 03
0993, 72
0994, 92
0995, 07
0996, 48
0997, 35
0998, 26
0999, 01
1000, 95
1001, 06
1002, 73
1003, 97
1004, 89
1005, 63
1006, 87
1007, 74
1008, 20
1009, 70
1010, 25
1011, 71
1012, 85
1013, 80
1014, 23
1015, 61
1016, 11
1017, 59
1018, 71
1019, 18
1020, 26
1021, 33
1022, 91
1023, 18
1024, 19
1025, 64
1026, 39
1027, 60
1028, 05
1029, 33
1030, 96
1031, 71
1032, 41
1033, 33
1034, 96
1035, 55
1036, 88
1037, 99
1038, 08
1039, 63
1040, 25
1041, 36
1042, 06
1043, 35
1044, 55
1045, 30
1046, 29
1047, 20
1048, 86
1049, 66
1050, 79
1051, 65
1052, 01
1053, 58
1054, 35
1055, 25
1056, 48
1057, 76
1058, 00
1059, 82
1060, 08
1061, 99
1062, 55
1063, 82
1064, 98
1065, 90
1066, 81
1067, 99
1068, 68
1069, 55
1070, 06
1071, 36
1072, 04
1073, 96
1074, 71
1075, 49
1076, 21
1077, 08
1078, 90
1079, 60
1080, 56
1081, 65
1082, 90
1083, 27
1084, 94
1085, 05
1086, 37
1087, 55
1088, 07
1089, 95
1090, 85
1091, 46
1092, 50
1093, 35
1094, 41
1095, 79
1096, 09
1097, 62
1098, 49
1099, 63
1100, 54
1101, 32
1102, 55
1103, 80
1104, 08
1105, 93
1106, 04
1107, 40
1108, 49
1109, 96
1110, 74
1111, 94
1112, 63
1113, 61
1114, 60
1115, 16
1116, 38
1117, 77
1118, 22
1119, 94
1120, 93
1121, 61
1122, 69
1123, 71
1124, 26
1125, 96
1126, 03
1127, 70
1128, 77
1129, 37
1130, 96
1131, 01
1132, 98
1133, 29
1134, 31
1135, 96
1136, 76
1137, 81
1138, 62
1139, 67
1140, 94
1141, 13
1142, 67
1143, 41
1144, 09
1145, 85
1146, 15
1147, 33
1148, 10
1149, 16
1150, 41
1151, 56
1152, 60
1153, 77
1154, 85
1155, 33
1156, 86
1157, 40
1158, 96
1159, 38
1160, 08
1161, 25
1162, 97
1163, 97
1164, 55
1165, 90
1166, 41
1167, 52
1168, 50
1169, 87
1170, 04
1171, 21
1172, 04
1173, 04
1174, 52
1175, 21
1176, 26
1177, 79
1178, 08
1179, 06
1180, 53
1181, 38
1182, 24
1183, 10
1184, 70
1185, 06
1186, 94
1187, 10
1188, 05
1189, 05
1190, 70
1191, 59
1192, 86
1193, 20
1194, 29
1195, 25
1196, 67
1197, 47
1198, 03
1199, 14
1200, 68
1201, 36
1202, 18
1203, 55
1204, 72
1205, 18
1206, 26
1207, 40
1208, 57
1209, 37
1210, 43
1211, 53
1212, 20
1213, 79
1214, 65
1215, 66
1216, 23
1217, 18
1218, 43
1219, 02
1220, 42
1221, 27
1222, 21
1223, 44
1224, 18
1225, 17
1226, 69
1227, 69
1228, 63
1229, 71
1230, 28
1231, 51
1232, 04
1233, 28
1234, 21
1235, 96
1236, 05
1237, 46
1238, 97
1239, 23
1240, 76
1241, 81
1242, 35
1243, 48
1244, 20
1245, 50
1246, 52
1247, 88
1248, 34
1249, 43
1250, 90
1251, 33
1252, 96
1253, 73
1254, 12
1255, 35
1256, 99
1257, 67
1258, 32
1259, 19
1260, 27
1261, 02
1262, 65
1263, 58
1264, 75
1265, 29
1266, 58
1267, 48
1268, 15
1269, 52
1270, 94
1271, 69
1272, 79
1273, 49
1274, 55
1275, 81
1276, 75
1277, 76
1278, 23
1279, 63
1280, 63
1281, 82
1282, 78
1283, 74
1284, 93
1285, 69
1286, 90
1287, 37
1288, 66
1289, 40
1290, 34
1291, 65
1292, 67
1293, 73
1294, 55
1295, 17
1296, 55
1297, 89
